Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
@abcum/ember-bigdata,0.0,0.625,0.71428,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@abcum/ember-charts,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
@abcum/ember-contextmenu,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@abcum/ember-domain,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
@abcum/ember-editables,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-gridlist,1.25,2.25,2.57142,3.71428,3.71428,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-helpers,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
@abcum/ember-hotkey,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-internet,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-location,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-modals,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-popups,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
@abcum/ember-quill,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.33333,3.29192,3.45454
@abcum/ember-select,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-storage,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-strings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.30303
@abcum/ember-stripe,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@abcum/ember-version,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@abcum/ember-visuals,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.45454
@addepar/ember-toolbox,3.75,4.375,5.0,5.0,5.0,5.625,5.625,5.67901,5.65217,5.51515
@addepar/pop-menu,3.75,4.375,5.0,5.0,5.0,5.625,5.625,5.55555,5.59006,5.45454
@adfinis-sygroup/ember-simple-auth-oidc,5.0,6.0,6.85714,6.85714,6.85714,6.0,5.375,5.30864,5.34161,5.21212
@alexlafroscia/ember-wizard,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@amcharts/amcharts4-ember,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.25,6.29629,6.27329,6.36363
@amk221/ember-autofocus,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@ampatspell/ember-cli-analytics,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-keyboard,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-images,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-relax-session,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@ampatspell/ember-cli-strings,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@bagaar/ember-breadcrumbs,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@bagaar/ember-permissions,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@buschtoens/ember-cli-deploy-compress,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
@busy-web/components,5.0,5.625,6.42857,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
@busy-web/deploy,1.25,1.875,2.14285,2.14285,2.14285,3.125,3.125,3.20987,3.1677,3.33333
@busy-web/ember-cli-launch-darkly,1.25,1.875,2.14285,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@busy-web/ember-date-time,3.75,4.75,5.42857,6.14285,4.71428,5.375,5.375,5.43209,5.40372,5.51515
@busy-web/graylog,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
@busy-web/utils,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,4.93827,4.96894,5.0909
@busybusy/components,2.5,2.5,2.85714,3.57142,3.57142,4.375,3.75,3.82716,3.78881,3.93939
@cardstack/auth0,2.5,3.125,3.57142,4.71428,3.28571,4.125,4.125,4.19753,4.16149,4.0606
@cardstack/core-types,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@cardstack/live-queries,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.72727
@cardstack/sftp,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,4.93827,4.96894,4.84848
@cardstack/workflow,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@centerforopenscience/ember-osf,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
@chattermill/ember-cli-index-redirect,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
@cross-check/core,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@cross-check/dsl,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@cross-check/schema,5.0,6.0,6.85714,8.0,7.14285,7.5,6.875,6.91358,6.8944,6.72727
@css-blocks/ember-cli,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.14814,8.13664,7.93939
@cubicl/ember-highcharts,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
@econlab/ember-cli-deploy-firebase,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
@ember-decorators/auto-computed,3.75,4.375,5.0,5.71428,4.28571,5.0,5.0,4.93827,4.96894,5.0909
@ember-decorators/babel-transforms,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/component,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/controller,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/data,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/object,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/service,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-decorators/utils,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@ember-intl/cp-validations,6.25,6.875,7.14285,8.28571,8.28571,8.5,8.5,8.51851,8.50931,8.54545
@ember-intl/decorators,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.125,8.14814,8.13664,7.93939
@ember-intl/messageformat-parser-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember-intl/messageformat-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember-intl/polyfill,2.5,2.5,2.85714,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.30303
@ember-intl/relativeformat-shim,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@ember/jquery,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.02469,8.07453,7.87878
@ember/octane-addon-blueprint,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
@ember/octane-app-blueprint,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
@ember/optional-features,6.25,7.25,7.57142,7.57142,7.14285,7.5,7.5,7.4074,7.45341,7.27272
@ember/ordered-set,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.875,8.76543,8.81987,8.84848
@ember/render-modifiers,6.25,7.5,7.85714,7.85714,6.42857,6.875,6.875,6.91358,6.8944,6.96969
@ember/string,6.25,6.25,7.14285,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
@ember/test-helpers,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
@fastly/ember-anti-clickjacking,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.72727
@fizmo/ember-cli-emblem,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
@fortawesome/ember-fontawesome,7.5,7.5,7.85714,7.85714,7.85714,8.125,8.125,8.14814,8.13664,7.93939
@glimmer/application-pipeline,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
@glimmer/blueprint,2.5,2.25,2.57142,2.57142,2.57142,3.5,3.5,3.58024,3.54037,3.45454
@glimmer/inline-precompile,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@html-next/flexi-default-styles,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/flexi-dsl,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
@html-next/flexi-layouts,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/flexi-sustain,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@html-next/vertical-collection,10.0,8.5,8.28571,9.42857,9.42857,9.5,9.5,9.50617,9.5031,9.51515
@indigoframework/ember-mapexplorer,2.5,3.125,3.57142,3.57142,3.57142,4.375,4.375,4.44444,4.40993,4.30303
@jasonmit/ember-cli-deploy-sentry,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
@jasonmit/ember-cli-dotenv,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
@jasonmit/ember-trix-editor,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.9753,1.92546,2.12121
@kockpit/ember-gantt,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
@kysmith/ember-chunk-render-each,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@kysmith/ember-cli-piwik,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
@lblod/ember-contenteditable-editor,3.75,4.75,5.42857,6.57142,6.57142,7.0,6.375,6.41975,6.39751,6.24242
@lblod/ember-rdfa-editor,2.5,3.5,4.0,5.14285,5.14285,5.75,5.125,5.18518,5.15527,5.0303
@love-open-source/ember-slider,5.0,6.0,6.85714,8.0,6.57142,7.0,7.0,7.03703,7.01863,7.0909
@maxmalov/ember-cli-jss-shims,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
@mediapop/ember-viewport,1.25,2.25,2.57142,3.71428,3.71428,4.5,4.5,4.5679,4.53416,4.42424
@microstates/ember,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
@mike-north/types,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@motokaptia/ember-cli-prerender,3.75,4.375,5.0,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
@olo/ember-principled-forms,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
@onehilltech/ember-cli-google-analytics,1.25,2.25,2.57142,2.57142,2.57142,2.25,2.25,2.34567,2.29813,2.24242
@pollyjs/ember,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
@precision-nutrition/number-formatting,5.0,6.0,6.85714,8.0,6.57142,7.0,7.0,7.03703,7.01863,7.0909
@q2ebanking/ember-unified-select,3.75,4.375,5.0,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
@rancher/ember-api-store,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@redpencil/ember-rdfstore,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
@repositive/ui-library,3.75,4.75,5.42857,6.14285,6.14285,6.625,6.625,6.5432,6.58385,6.42424
@retail-architects/ember-data,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
@ryannerd/ember-toggle-button,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@savvy-css/ember-savvy-css,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
@skeate/ember-drop,5.0,5.0,5.71428,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
@smile-io/ember-polaris,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
@surkus/ember-cli-airbrake,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.93939
@surkus/ember-cli-document-title,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
@surkus/ember-cli-leanplum,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,4.93827,4.96894,5.0909
@surkus/ember-cli-slick,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
@test-ui/core,6.25,7.25,8.28571,8.28571,8.28571,8.5,7.875,7.90123,7.88819,7.93939
@test-ui/ember,6.25,6.875,7.85714,7.85714,7.85714,8.125,7.5,7.53086,7.51552,7.57575
@test-ui/mocha,5.0,5.0,5.71428,5.71428,5.71428,6.25,5.625,5.67901,5.65217,5.75757
@test-ui/qunit,6.25,7.25,8.28571,8.28571,8.28571,8.5,7.875,7.90123,7.88819,7.93939
@uncharted.software/ember-tokenfield,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.46913,2.48447,2.42424
@upsilon/ember-idx-wysiwyg,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.125,3.20987,3.1677,3.0909
@wildland-labs/ember-bootstrap-controls,5.0,5.625,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.96969
@zestia/ember-async-tooltips,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-auto-focus,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-dragula,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-select-box,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-simple-infinite-scroller,8.75,8.75,9.28571,9.28571,7.85714,8.125,8.125,8.14814,8.13664,8.18181
@zestia/ember-twitter-entities,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-validation,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
@zestia/ember-wrap-urls,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.57575
a11y-announcer,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
active-model-adapter,7.5,7.5,7.14285,7.85714,7.85714,8.125,8.125,8.02469,8.07453,8.12121
ae-select,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
affinity-engine,5.0,6.0,6.85714,7.57142,6.14285,4.75,4.75,4.81481,4.7826,4.66666
affinity-engine-curtain,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
affinity-engine-menu-bar,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-menu-bar-button-load,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-menu-bar-button-reset,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-menu-bar-button-resize,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-menu-bar-button-rewind,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-menu-bar-button-save,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-plugin-animator-velocity,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-plugin-data-manager-rewindable-lokijs,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-plugin-icon-font-awesome,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-plugin-preloader-createjs,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-plugin-sound-manager-createjs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
affinity-engine-plugin-translator-ember-intl,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.63636
affinity-engine-stage-direction-backdrop,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-character,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-image,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-menu,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-pause,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-random,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
affinity-engine-stage-direction-sound,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
affinity-engine-stage-direction-text,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.63636
affinity-engine-style-caption,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
affinity-engine-style-full,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
affinity-engine-style-paper,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
affinity-engine-style-transparent,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
amcharts4-ember-hardcoded,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
animationize,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ao-changeset-base,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
async-container,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
atomable,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.72727
auth0-ember-simple-auth,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.72727
authmaker-ember-simple-auth,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.33333
avatar-icon-component,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.36363
axc-gravatar,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.23456,1.24223,1.21212
babel-plugin-glimmer-inline-precompile,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.93939
balanced-addon-models,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
bg-button-group,6.25,6.875,7.14285,7.85714,6.42857,5.625,5.625,5.67901,5.65217,5.51515
bg-select,8.75,8.75,9.28571,9.28571,7.85714,6.875,6.875,6.91358,6.8944,6.72727
bite-log,5.0,5.625,6.42857,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.54545
bootstrap-modal,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
bootstrap-tooltip-activator,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
bootstrap4-tooltip-activator,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
bricks-ui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
broccoli-asset-rev,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
broccoli-ember-inline-template-compiler,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
broccoli-image-size,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
broccoli-jscs,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
broccoli-leasot,5.0,5.0,5.71428,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.54545
broccoli-manifest,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
broccoli-serviceworker,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
busy-components,5.0,5.0,5.71428,6.42857,6.42857,6.875,6.25,6.29629,6.27329,6.36363
busy-deploy,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.72727
canvas-5-polyfill-shim,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
cardstack-auth0,2.5,3.125,3.57142,4.71428,3.28571,4.125,4.125,4.19753,4.16149,4.0606
cardstack-open-sesame,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ceremberus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
cog-auth,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
coin-clicks,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.46913,2.48447,2.66666
computed-validator,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
concat-text,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
corber,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,8.18181
cordova-contact-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
cybertooth-ember-addon-components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
datetime-bling,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
dc-tabs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
debounce-query-params,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
django-ember-gettext,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
draggable-mixin,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
drf-ember-frontend,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
dsc-ember-forms,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
dynamic-link,5.0,5.625,6.42857,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.72727
echarts-ember,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ella-sparse-array-controller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
elvis-network,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
em-helpers,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
em-markdown-editor,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
em-notify,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
em-table,6.25,6.25,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
email-modal,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-2-legacy,3.75,3.75,4.28571,5.0,5.0,5.625,5.625,5.67901,5.65217,5.51515
ember-3d,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-3d-folding-panel,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-3d-nav,6.25,7.25,8.28571,8.28571,8.28571,7.25,6.625,6.66666,6.64596,6.72727
ember-a-b,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-a11y,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.15151
ember-a11y-accordion,6.25,6.875,7.85714,7.85714,6.42857,6.875,6.875,6.91358,6.8944,6.96969
ember-a11y-datatable,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-a11y-landmarks,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
ember-a11y-testing,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75757
ember-abstract-macro,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-accessible-icon,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-accordion,6.25,7.25,7.57142,8.71428,7.28571,6.375,6.375,6.41975,6.39751,6.24242
ember-ace,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-ace-shim,3.75,4.75,5.42857,6.57142,5.14285,4.5,4.5,4.5679,4.53416,4.66666
ember-action-notice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-action-services,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-actions-service,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.33333
ember-active-scroll-list,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-active-storage,6.25,6.875,7.85714,7.85714,7.85714,6.875,6.25,6.29629,6.27329,6.36363
ember-adcssy,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-add-calendar-button,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-add-to-homescreen,6.25,7.25,8.28571,8.28571,8.28571,8.5,8.5,8.51851,8.50931,8.30303
