Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-i18n,8.75,8.75,8.57142,9.71428,9.71428,9.75,9.75,9.75308,9.75155,9.75757
ember-i18n-changeset-validations,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-i18n-cp-validations,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.75757
ember-i18n-errors,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-i18n-export,1.25,1.25,1.42857,2.14285,2.14285,1.875,1.875,1.9753,1.92546,2.12121
ember-i18n-fetch-translations,5.0,5.625,6.42857,7.14285,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-i18n-import-export,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-i18n-iso-countries,3.75,4.75,5.42857,6.14285,4.71428,4.125,4.125,4.19753,4.16149,4.30303
ember-i18n-loader,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-i18n-test-helpers,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-i18n-yaml-to-json,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.33333,3.29192,3.45454
ember-i18next,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-ic-you,2.5,3.125,3.57142,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
ember-icis-auth,3.75,3.75,4.28571,5.0,5.0,5.625,5.625,5.67901,5.65217,5.51515
ember-icon-radio-buttons,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-idle-scheduler,3.75,3.75,3.57142,3.57142,3.57142,3.125,2.5,2.46913,2.48447,2.42424
ember-idx-accordion,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-button,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-idx-charts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-idx-forms,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.0909
